0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
i,p,n,b,a,d,k,c,f,,,,,,,,,,
i,p,n,b,a,c,d,k,f,,,,,,,,,,
i,j,n,g,b,a,d,f,k,,,,,,,,,,
c,l,b,g,h,m,o,q,e,m,o,e,m,o,e,a,d,k,f
c,l,g,h,f,q,m,a,d,k,f,,,,,,,,
g,i,p,b,n,a,d,f,k,,,,,,,,,,
c,j,l,g,h,q,m,o,e,m,o,e,m,a,d,f,k,,
c,l,g,m,o,o,e,h,q,m,o,e,m,e,a,d,k,f,
c,l,g,h,h,m,q,o,e,m,a,d,k,f,,,,,
c,l,g,h,q,m,o,e,m,m,o,e,o,e,a,d,f,k,
i,j,n,b,a,d,f,g,k,,,,,,,,,,
c,l,g,h,l,m,o,e,q,m,a,d,k,f,,,,,
c,l,g,m,h,o,l,q,e,m,a,d,f,k,,,,,
c,f,l,g,h,q,m,o,e,m,a,d,k,f,,,,,
i,p,b,n,a,d,p,k,f,,,,,,,,,,
c,l,g,f,h,q,m,o,e,m,o,e,m,a,d,f,k,,
b,i,p,b,n,a,d,k,f,,,,,,,,,,
c,l,g,m,o,e,m,h,q,o,e,m,o,e,p,a,d,f,k
c,l,g,m,h,c,o,e,m,q,a,d,k,f,,,,,
i,p,n,b,p,a,d,k,f,,,,,,,,,,
c,l,g,h,q,m,o,e,m,a,a,d,f,k,,,,,
i,j,p,b,n,a,d,k,f,,,,,,,,,,
i,p,b,n,a,d,i,f,k,,,,,,,,,,
i,p,b,n,a,d,b,f,k,,,,,,,,,,
i,p,b,n,p,a,d,k,f,,,,,,,,,,
i,j,b,n,i,a,d,f,k,,,,,,,,,,
c,l,g,k,h,m,o,e,q,m,a,d,k,f,,,,,
c,l,g,h,m,q,a,d,k,n,f,,,,,,,,
c,l,g,m,h,l,q,o,e,m,o,e,m,a,d,k,f,,
i,p,q,n,b,a,d,f,k,,,,,,,,,,
i,p,f,n,b,a,d,k,f,,,,,,,,,,
i,j,n,b,a,j,d,f,k,,,,,,,,,,
c,p,l,g,m,o,e,m,o,e,h,q,m,a,d,f,k,,
c,l,g,h,m,o,i,q,e,m,a,d,f,k,,,,,
i,j,n,h,b,a,d,k,f,,,,,,,,,,
c,l,o,g,h,m,o,e,m,o,e,q,m,e,a,d,k,f,
i,j,b,n,a,d,f,f,k,,,,,,,,,,
c,k,l,g,h,m,o,e,q,m,a,d,f,k,,,,,
c,l,g,m,o,e,m,o,e,m,o,h,q,e,a,d,k,p,f
i,p,b,n,a,d,k,j,f,,,,,,,,,,
i,p,b,n,g,a,d,f,k,,,,,,,,,,
i,p,b,n,a,d,k,q,f,,,,,,,,,,
i,j,b,n,a,d,m,f,k,,,,,,,,,,
c,l,g,h,q,m,o,f,e,m,a,d,k,f,,,,,
c,l,g,h,m,q,a,j,d,f,k,,,,,,,,
i,p,b,n,a,a,d,f,k,,,,,,,,,,
a,i,j,b,n,a,d,k,f,,,,,,,,,,
m,i,p,n,b,a,d,f,k,,,,,,,,,,
c,l,h,g,h,m,o,e,m,o,e,q,m,a,d,k,f,,
c,l,g,h,f,m,o,e,q,m,o,e,m,o,e,a,d,k,f
d,c,l,g,h,q,m,o,e,m,o,e,m,a,d,k,f,,
i,n,p,n,b,a,d,f,k,,,,,,,,,,
i,j,n,b,a,d,k,d,f,,,,,,,,,,
i,j,n,h,b,a,d,k,f,,,,,,,,,,
i,j,n,b,a,d,n,k,f,,,,,,,,,,
i,j,b,n,n,a,d,k,f,,,,,,,,,,
i,j,b,n,a,d,p,f,k,,,,,,,,,,
i,p,n,b,f,a,d,k,f,,,,,,,,,,
c,l,g,m,h,g,q,o,e,m,o,e,m,a,d,k,f,,
i,j,n,o,b,a,d,k,f,,,,,,,,,,
j,c,l,g,m,o,h,q,e,m,o,e,m,o,e,a,d,k,f
i,p,b,n,a,n,d,k,f,,,,,,,,,,
i,j,n,b,a,a,d,f,k,,,,,,,,,,
i,p,b,n,d,a,d,k,f,,,,,,,,,,
c,g,l,g,h,q,m,a,d,f,k,,,,,,,,
c,l,g,m,h,o,e,m,o,q,e,m,d,o,e,a,d,f,k
i,p,n,b,a,f,d,k,f,,,,,,,,,,
c,l,g,m,o,e,h,m,a,o,e,q,m,a,d,k,f,,
f,c,l,g,h,m,o,e,q,m,o,e,m,o,e,a,d,k,f
c,l,g,h,m,q,o,a,e,m,a,d,f,k,,,,,
c,l,g,h,m,o,q,e,m,o,e,m,a,d,f,k,,,
i,p,n,i,b,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,q,e,m,k,a,d,k,f,,,,,
i,d,p,b,n,a,d,f,k,,,,,,,,,,
c,l,g,m,h,q,c,a,d,k,f,,,,,,,,
i,j,b,n,a,d,f,k,f,,,,,,,,,,
c,l,g,m,h,q,a,h,d,k,f,,,,,,,,
c,l,g,m,h,q,a,d,g,k,f,,,,,,,,
c,b,l,g,h,m,q,a,d,k,f,,,,,,,,
c,l,g,p,h,m,q,a,d,k,f,,,,,,,,
i,j,l,b,n,a,d,f,k,,,,,,,,,,
c,l,g,m,o,e,h,m,o,e,m,o,e,q,a,d,k,f,
q,c,l,g,h,m,q,o,e,m,a,d,k,f,,,,,
c,l,g,h,q,m,o,e,m,o,o,e,m,a,d,k,f,,
i,j,m,n,b,a,d,k,f,,,,,,,,,,
i,j,b,n,a,n,d,f,k,,,,,,,,,,
c,l,g,h,m,o,q,e,a,m,a,d,f,k,,,,,
i,j,b,n,a,e,d,k,f,,,,,,,,,,
c,l,g,h,m,o,n,e,m,o,e,m,o,q,e,a,d,k,f
i,p,b,n,a,d,f,e,k,,,,,,,,,,
i,j,n,b,a,d,k,o,f,,,,,,,,,,
c,l,g,m,o,e,f,m,h,q,o,e,m,o,e,a,d,k,f
f,c,l,g,h,q,m,o,e,m,a,d,f,k,,,,,
c,l,g,d,h,q,m,a,d,f,k,,,,,,,,
i,p,e,b,n,a,d,k,f,,,,,,,,,,
c,l,g,h,m,o,e,q,m,p,o,e,m,a,d,f,k,,
c,l,g,m,h,q,o,i,e,m,o,e,m,o,e,a,d,f,k
c,d,l,g,h,m,o,e,m,q,a,d,f,k,,,,,
o,c,l,g,h,m,o,q,e,m,a,d,k,f,,,,,
i,p,b,n,a,d,i,f,k,,,,,,,,,,
c,l,g,m,o,o,h,q,e,m,a,d,k,f,,,,,
h,c,l,g,h,q,m,a,d,k,f,,,,,,,,
i,j,n,a,b,a,d,f,k,,,,,,,,,,
c,l,g,m,d,o,e,m,o,e,m,h,q,o,e,a,d,f,k
c,l,g,b,m,o,e,m,h,q,a,d,k,f,,,,,
c,l,g,h,m,o,q,e,m,o,e,m,o,e,f,a,d,f,k
g,c,l,g,h,m,o,q,e,m,a,d,k,f,,,,,
i,j,a,b,n,a,d,f,k,,,,,,,,,,
c,l,g,h,g,m,q,o,e,m,a,d,k,f,,,,,
c,l,g,h,q,m,o,e,m,a,q,d,f,k,,,,,
i,i,j,n,b,a,d,f,k,,,,,,,,,,
i,p,e,n,b,a,d,f,k,,,,,,,,,,
c,l,g,h,q,m,o,g,e,m,a,d,k,f,,,,,
a,i,j,b,n,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,q,e,m,a,d,o,k,f,,,,,
c,l,g,m,h,o,e,m,o,e,m,o,q,e,d,a,d,k,f
c,l,g,m,o,h,e,q,j,m,o,e,m,a,d,k,f,,
c,l,c,g,h,q,m,o,e,m,o,e,m,a,d,k,f,,
i,j,n,b,q,a,d,k,f,,,,,,,,,,
c,l,g,h,q,m,o,e,m,a,i,d,k,f,,,,,
c,i,l,g,h,m,o,q,e,m,o,e,m,a,d,k,f,,
c,l,g,m,i,h,o,q,e,m,a,d,k,f,,,,,
c,b,l,g,m,h,q,a,d,k,f,,,,,,,,
i,k,j,b,n,a,d,k,f,,,,,,,,,,
i,n,p,b,n,a,d,f,k,,,,,,,,,,
c,l,g,h,q,m,o,e,n,m,o,e,m,o,e,a,d,f,k
c,l,g,h,m,o,q,e,m,a,d,h,k,f,,,,,
c,l,g,h,q,m,o,l,e,m,a,d,k,f,,,,,
i,p,n,g,b,a,d,f,k,,,,,,,,,,
i,j,n,b,a,d,f,l,k,,,,,,,,,,
i,j,b,n,m,a,d,k,f,,,,,,,,,,
i,j,n,b,g,a,d,f,k,,,,,,,,,,
i,p,n,b,a,d,o,k,f,,,,,,,,,,
i,p,b,q,n,a,d,k,f,,,,,,,,,,
i,j,n,b,a,d,f,f,k,,,,,,,,,,
c,l,g,h,m,o,q,e,l,m,a,d,k,f,,,,,
i,j,n,b,b,a,d,f,k,,,,,,,,,,
i,j,n,n,b,a,d,f,k,,,,,,,,,,
c,l,g,h,q,m,a,f,d,k,f,,,,,,,,
c,l,g,h,m,o,d,q,e,m,a,d,k,f,,,,,
i,p,n,b,a,d,n,k,f,,,,,,,,,,
c,a,l,g,m,o,h,e,q,m,a,d,k,f,,,,,
c,l,g,m,h,g,q,a,d,k,f,,,,,,,,
c,l,d,g,h,m,q,o,e,m,a,d,k,f,,,,,
i,j,n,b,a,d,n,f,k,,,,,,,,,,
c,l,g,m,o,h,e,m,o,q,e,m,o,e,n,a,d,f,k
c,q,l,g,h,q,m,a,d,k,f,,,,,,,,
c,l,g,m,h,o,e,q,m,o,e,m,o,e,a,d,f,f,k
i,j,c,n,b,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,q,b,e,m,a,d,f,k,,,,,
c,l,g,h,m,o,q,a,d,k,f,,,,,,,,
i,h,j,b,n,a,d,f,k,,,,,,,,,,
i,q,p,b,n,a,d,k,f,,,,,,,,,,
c,i,p,b,n,a,d,k,f,,,,,,,,,,
c,l,i,g,h,q,m,o,e,m,a,d,f,k,,,,,
i,p,n,b,a,d,k,k,f,,,,,,,,,,
c,l,g,h,q,m,a,d,f,n,k,,,,,,,,
c,l,g,h,m,o,q,e,m,o,e,m,o,e,q,a,d,f,k
i,p,b,n,a,d,a,k,f,,,,,,,,,,
i,j,b,n,a,d,i,f,k,,,,,,,,,,
i,j,b,n,a,d,b,k,f,,,,,,,,,,
i,p,b,n,a,e,d,f,k,,,,,,,,,,
c,l,g,h,q,m,o,e,m,o,e,m,o,e,k,a,d,f,k
i,j,n,b,a,d,d,f,k,,,,,,,,,,
i,p,h,n,b,a,d,f,k,,,,,,,,,,
i,j,n,b,a,l,d,f,k,,,,,,,,,,
c,l,g,m,n,o,e,m,o,h,q,e,m,o,e,a,d,k,f
c,l,g,h,q,m,a,d,k,e,f,,,,,,,,
i,o,j,b,n,a,d,f,k,,,,,,,,,,
c,m,l,g,h,m,q,a,d,f,k,,,,,,,,
i,p,n,b,a,p,d,f,k,,,,,,,,,,
c,l,g,h,m,q,o,e,m,o,e,m,o,e,n,a,d,k,f
c,l,l,g,h,q,m,o,e,m,a,d,f,k,,,,,
c,l,g,m,o,e,h,m,o,e,m,o,q,a,e,a,d,f,k
c,l,g,h,m,q,n,a,d,f,k,,,,,,,,
i,p,b,n,a,d,q,f,k,,,,,,,,,,
i,p,b,n,a,d,d,k,f,,,,,,,,,,
i,a,j,n,b,a,d,f,k,,,,,,,,,,
i,p,n,b,a,d,k,f,f,,,,,,,,,,
i,i,j,n,b,a,d,k,f,,,,,,,,,,
c,l,g,h,q,m,o,e,m,o,e,m,o,c,e,a,d,f,k
c,f,l,g,m,h,q,a,d,f,k,,,,,,,,
i,j,i,n,b,a,d,f,k,,,,,,,,,,
i,j,b,n,a,h,d,k,f,,,,,,,,,,
c,l,g,h,q,m,o,e,m,o,e,m,o,e,k,a,d,k,f
i,p,n,b,a,d,f,c,k,,,,,,,,,,
i,p,k,n,b,a,d,k,f,,,,,,,,,,
i,q,j,n,b,a,d,f,k,,,,,,,,,,
i,p,p,b,n,a,d,k,f,,,,,,,,,,
i,p,b,n,a,l,d,k,f,,,,,,,,,,
c,l,g,h,q,m,a,d,g,k,f,,,,,,,,
i,p,b,n,a,b,d,k,f,,,,,,,,,,
c,l,g,m,m,o,e,m,h,q,a,d,f,k,,,,,
i,p,n,b,a,d,f,e,k,,,,,,,,,,
c,l,g,m,h,o,e,m,q,o,e,m,o,e,a,l,d,f,k
c,l,g,h,q,m,o,c,e,m,o,e,m,a,d,f,k,,
i,p,f,b,n,a,d,k,f,,,,,,,,,,
c,l,g,n,m,o,h,e,m,q,o,e,m,a,d,k,f,,
c,l,g,m,o,e,h,m,o,e,m,o,e,j,q,a,d,f,k
i,j,h,n,b,a,d,f,k,,,,,,,,,,
i,j,b,n,n,a,d,f,k,,,,,,,,,,
i,p,b,n,a,a,d,f,k,,,,,,,,,,
i,p,b,n,a,d,f,a,k,,,,,,,,,,
c,l,g,m,h,q,o,e,m,n,a,d,k,f,,,,,
i,j,n,b,a,d,f,f,k,,,,,,,,,,
i,p,b,n,a,c,d,f,k,,,,,,,,,,
c,l,g,h,o,q,m,a,d,k,f,,,,,,,,
m,i,p,n,b,a,d,k,f,,,,,,,,,,
i,j,n,b,a,d,d,k,f,,,,,,,,,,
c,l,g,h,m,j,q,o,e,m,a,d,k,f,,,,,
c,l,g,m,o,h,e,q,m,d,o,e,m,a,d,f,k,,
c,l,i,g,m,o,e,m,o,e,m,o,h,q,e,a,d,f,k
i,j,l,b,n,a,d,k,f,,,,,,,,,,
c,l,g,m,o,e,m,h,q,a,i,d,k,f,,,,,
c,l,g,m,a,o,e,h,q,m,a,d,f,k,,,,,
i,p,j,b,n,a,d,k,f,,,,,,,,,,
i,j,n,b,a,a,d,k,f,,,,,,,,,,
i,j,b,h,n,a,d,f,k,,,,,,,,,,
c,l,g,m,a,h,o,q,e,m,o,e,m,a,d,f,k,,
c,l,g,m,h,q,a,d,k,g,f,,,,,,,,
c,l,g,m,o,h,q,c,e,m,a,d,f,k,,,,,
i,j,n,b,a,d,f,m,k,,,,,,,,,,
i,j,f,n,b,a,d,k,f,,,,,,,,,,
i,p,b,n,a,a,d,k,f,,,,,,,,,,
i,j,n,b,a,d,f,h,k,,,,,,,,,,
i,j,n,b,b,a,d,f,k,,,,,,,,,,
f,i,p,n,b,a,d,k,f,,,,,,,,,,
c,l,a,g,m,h,q,a,d,f,k,,,,,,,,
i,n,j,b,n,a,d,f,k,,,,,,,,,,
c,l,g,h,h,m,q,o,e,m,a,d,f,k,,,,,
m,i,p,n,b,a,d,k,f,,,,,,,,,,
i,j,b,n,a,d,f,g,k,,,,,,,,,,
c,l,g,m,o,h,e,m,q,g,o,e,m,o,e,a,d,k,f
c,l,g,h,m,q,a,d,k,k,f,,,,,,,,
i,p,n,b,g,a,d,k,f,,,,,,,,,,
l,i,j,b,n,a,d,k,f,,,,,,,,,,
c,l,g,h,m,q,o,e,m,a,d,f,o,k,,,,,
i,p,b,n,a,d,o,f,k,,,,,,,,,,
c,o,l,g,m,o,e,h,m,q,a,d,f,k,,,,,
i,p,n,b,n,a,d,k,f,,,,,,,,,,
c,l,g,m,h,q,a,d,k,e,f,,,,,,,,
c,l,g,q,m,o,h,q,e,m,o,e,m,a,d,f,k,,
i,p,b,n,a,d,n,k,f,,,,,,,,,,
i,j,n,h,b,a,d,f,k,,,,,,,,,,
i,p,n,b,a,d,f,n,k,,,,,,,,,,
c,l,g,h,m,q,o,e,m,a,a,d,f,k,,,,,
i,j,b,n,a,d,b,k,f,,,,,,,,,,
c,l,g,h,q,m,a,d,f,f,k,,,,,,,,
c,e,l,g,m,h,o,e,q,m,a,d,f,k,,,,,
i,i,j,b,n,a,d,k,f,,,,,,,,,,
c,l,g,b,m,o,h,q,e,m,a,d,k,f,,,,,
i,p,j,n,b,a,d,k,f,,,,,,,,,,
c,l,g,m,o,h,n,e,m,o,q,e,m,o,e,a,d,f,k
i,j,b,e,n,a,d,k,f,,,,,,,,,,
c,l,g,h,m,o,e,m,o,e,m,q,o,e,q,a,d,f,k
c,l,g,m,o,e,h,q,m,a,d,k,f,f,,,,,
c,l,g,h,q,m,o,e,m,o,e,m,a,d,f,k,f,,
c,l,g,m,o,h,e,m,o,q,e,k,m,o,e,a,d,k,f
i,j,n,i,b,a,d,k,f,,,,,,,,,,
c,l,g,g,h,q,m,o,e,m,a,d,k,f,,,,,
c,l,g,m,h,q,m,o,e,m,o,e,o,e,a,d,f,k,
i,p,f,b,n,a,d,f,k,,,,,,,,,,
c,l,g,h,q,m,a,l,d,k,f,,,,,,,,
i,j,b,n,a,d,m,k,f,,,,,,,,,,
i,p,n,b,a,d,l,k,f,,,,,,,,,,
c,l,g,h,q,m,o,e,m,o,e,m,a,d,k,f,,,
i,j,j,n,b,a,d,k,f,,,,,,,,,,
c,l,g,h,q,m,a,o,e,m,a,d,k,f,,,,,
i,p,l,n,b,a,d,k,f,,,,,,,,,,
i,q,j,b,n,a,d,k,f,,,,,,,,,,
i,f,j,n,b,a,d,k,f,,,,,,,,,,
i,p,n,b,a,i,d,f,k,,,,,,,,,,
c,l,g,m,h,o,q,e,m,a,d,f,k,f,,,,,
c,l,g,h,q,m,o,e,m,a,d,k,c,f,,,,,
i,p,j,n,b,a,d,f,k,,,,,,,,,,
c,l,g,h,m,q,o,e,m,j,a,d,k,f,,,,,
c,l,g,h,m,q,o,e,m,o,h,e,m,a,d,k,f,,
i,j,p,b,n,a,d,k,f,,,,,,,,,,
c,c,l,g,h,m,q,a,d,k,f,,,,,,,,
c,l,g,m,o,e,h,m,q,a,d,k,j,f,,,,,
i,j,n,l,b,a,d,k,f,,,,,,,,,,
i,j,n,b,m,a,d,k,f,,,,,,,,,,
c,l,g,h,q,m,a,d,f,k,f,,,,,,,,
c,i,l,g,m,o,e,h,m,q,a,d,f,k,,,,,
c,l,g,m,o,e,h,b,q,m,a,d,f,k,,,,,
i,p,n,b,a,d,f,k,k,,,,,,,,,,
c,c,l,g,h,q,m,o,e,m,a,d,f,k,,,,,
c,l,g,h,q,m,o,e,m,o,e,m,o,e,a,d,i,f,k
c,l,g,m,o,h,e,h,m,q,o,e,m,a,d,f,k,,
i,j,b,n,a,d,j,f,k,,,,,,,,,,
i,j,n,e,b,a,d,f,k,,,,,,,,,,
c,l,g,h,m,q,a,d,f,f,k,,,,,,,,
c,l,g,m,h,q,i,o,e,m,a,d,f,k,,,,,
c,i,p,n,b,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,e,q,m,p,o,e,m,o,e,a,d,f,k
c,l,g,m,o,h,e,q,m,o,e,d,m,a,d,f,k,,
c,a,l,g,m,o,h,q,e,m,a,d,f,k,,,,,
i,p,n,c,b,a,d,f,k,,,,,,,,,,
c,l,g,h,m,m,q,o,e,m,o,e,a,d,k,f,,,
i,j,b,i,n,a,d,f,k,,,,,,,,,,
c,l,g,h,m,q,k,a,d,f,k,,,,,,,,
i,p,n,b,a,d,k,a,f,,,,,,,,,,
a,i,j,b,n,a,d,k,f,,,,,,,,,,
j,i,p,n,b,a,d,k,f,,,,,,,,,,
c,l,g,m,h,o,o,q,e,m,o,e,m,a,d,k,f,,
i,k,p,n,b,a,d,k,f,,,,,,,,,,
i,p,n,b,a,d,q,k,f,,,,,,,,,,
c,l,g,f,h,q,m,o,e,m,a,d,f,k,,,,,
c,l,d,g,m,h,o,q,e,m,a,d,f,k,,,,,
c,j,l,g,h,q,m,a,d,k,f,,,,,,,,
c,l,g,m,o,h,a,q,e,m,a,d,k,f,,,,,
i,j,b,n,a,d,k,b,f,,,,,,,,,,
i,p,e,n,b,a,d,f,k,,,,,,,,,,
l,i,j,b,n,a,d,k,f,,,,,,,,,,
i,i,j,n,b,a,d,f,k,,,,,,,,,,
i,f,p,b,n,a,d,k,f,,,,,,,,,,
i,o,j,b,n,a,d,f,k,,,,,,,,,,
h,c,l,g,h,q,m,a,d,k,f,,,,,,,,
i,j,b,n,a,k,d,f,k,,,,,,,,,,
i,p,b,q,n,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,e,q,m,o,e,o,m,a,d,k,f,,
c,l,g,h,q,m,a,q,d,k,f,,,,,,,,
i,p,b,m,n,a,d,k,f,,,,,,,,,,
c,l,g,m,o,e,m,o,e,h,m,o,q,e,a,d,f,c,k
c,l,g,h,m,q,a,d,k,l,f,,,,,,,,
i,j,q,b,n,a,d,k,f,,,,,,,,,,
i,j,b,n,a,i,d,k,f,,,,,,,,,,
i,j,p,n,b,a,d,f,k,,,,,,,,,,
c,l,g,n,m,h,q,a,d,f,k,,,,,,,,
i,l,p,b,n,a,d,f,k,,,,,,,,,,
c,l,g,m,o,h,e,q,m,o,e,m,a,d,f,h,k,,
i,p,n,b,a,d,o,f,k,,,,,,,,,,
c,l,g,d,h,q,m,a,d,f,k,,,,,,,,
i,p,n,b,a,d,k,c,f,,,,,,,,,,
c,l,g,h,q,m,o,k,e,m,a,d,k,f,,,,,
c,l,g,m,g,h,q,a,d,f,k,,,,,,,,
k,i,p,b,n,a,d,k,f,,,,,,,,,,
c,l,g,m,j,h,q,a,d,k,f,,,,,,,,
h,c,l,g,h,q,m,o,e,m,o,e,m,o,e,a,d,k,f
c,l,g,m,h,q,o,e,l,m,a,d,f,k,,,,,
i,j,b,n,a,e,d,k,f,,,,,,,,,,
c,l,g,h,q,m,o,e,m,a,d,f,o,k,,,,,
c,l,g,h,m,q,c,a,d,f,k,,,,,,,,
i,j,p,b,n,a,d,k,f,,,,,,,,,,
c,l,g,m,h,p,q,o,e,m,a,d,f,k,,,,,
c,l,g,m,o,h,q,e,m,o,e,m,o,e,n,a,d,k,f
i,j,n,b,a,a,d,k,f,,,,,,,,,,
c,l,g,m,o,h,q,e,m,a,n,d,k,f,,,,,
c,l,g,h,m,q,o,e,m,a,d,a,k,f,,,,,
i,p,b,b,n,a,d,k,f,,,,,,,,,,
i,p,b,n,a,h,d,f,k,,,,,,,,,,
c,l,g,h,m,o,q,e,e,m,o,e,m,o,a,d,k,f,
c,l,g,h,o,q,m,a,d,f,k,,,,,,,,
c,l,g,h,q,m,a,a,d,f,k,,,,,,,,
c,l,g,h,m,q,o,e,m,o,e,m,o,e,a,d,k,f,
i,p,n,m,b,a,d,f,k,,,,,,,,,,
i,i,p,b,n,a,d,k,f,,,,,,,,,,
i,f,j,n,b,a,d,k,f,,,,,,,,,,
i,j,b,n,a,h,d,k,f,,,,,,,,,,
c,l,p,g,m,h,q,a,d,k,f,,,,,,,,
i,j,m,b,n,a,d,k,f,,,,,,,,,,
p,i,j,b,n,a,d,f,k,,,,,,,,,,
c,l,g,h,q,m,q,a,d,f,k,,,,,,,,
c,l,g,h,q,g,m,a,d,k,f,,,,,,,,
c,l,g,m,h,o,e,q,n,m,a,d,k,f,,,,,
i,j,n,b,a,d,n,f,k,,,,,,,,,,
i,p,b,n,a,d,d,f,k,,,,,,,,,,
i,m,j,n,b,a,d,f,k,,,,,,,,,,
i,p,c,b,n,a,d,k,f,,,,,,,,,,
i,j,b,n,a,l,d,f,k,,,,,,,,,,
i,j,b,n,a,g,d,k,f,,,,,,,,,,
i,p,n,l,b,a,d,k,f,,,,,,,,,,
i,j,b,l,n,a,d,f,k,,,,,,,,,,
i,p,n,k,b,a,d,f,k,,,,,,,,,,
b,i,j,b,n,a,d,k,f,,,,,,,,,,
i,p,n,b,a,q,d,k,f,,,,,,,,,,
i,p,i,b,n,a,d,k,f,,,,,,,,,,
i,j,n,b,a,d,k,e,f,,,,,,,,,,
c,l,g,m,o,e,m,k,h,q,o,e,m,o,e,a,d,f,k
i,p,b,n,a,j,d,k,f,,,,,,,,,,
i,p,b,a,n,a,d,k,f,,,,,,,,,,
i,j,b,i,n,a,d,f,k,,,,,,,,,,
c,l,g,m,o,a,e,h,m,o,q,e,m,o,e,a,d,f,k
i,p,b,n,a,d,f,k,f,,,,,,,,,,
i,p,n,b,a,f,d,f,k,,,,,,,,,,
c,l,g,m,h,q,a,d,c,f,k,,,,,,,,
c,o,l,g,h,q,m,a,d,f,k,,,,,,,,
l,c,l,g,m,o,h,q,e,m,o,e,m,a,d,k,f,,
i,p,b,e,n,a,d,f,k,,,,,,,,,,
i,p,n,b,a,q,d,k,f,,,,,,,,,,
c,l,g,m,o,h,q,e,m,k,o,e,m,a,d,f,k,,
c,l,d,g,h,q,m,a,d,k,f,,,,,,,,
i,c,p,b,n,a,d,k,f,,,,,,,,,,
f,c,l,g,h,q,m,a,d,f,k,,,,,,,,
i,j,n,b,a,d,d,f,k,,,,,,,,,,
c,l,g,h,m,q,o,e,m,a,d,d,f,k,,,,,
i,p,b,n,a,k,d,k,f,,,,,,,,,,
c,l,g,h,m,o,q,e,m,a,l,d,f,k,,,,,
i,f,p,n,b,a,d,f,k,,,,,,,,,,
i,p,f,b,n,a,d,f,k,,,,,,,,,,
i,c,j,b,n,a,d,f,k,,,,,,,,,,
c,l,e,g,m,o,h,q,e,m,o,e,m,o,a,d,k,f,
c,f,l,g,m,o,h,q,e,m,o,e,m,a,d,k,f,,
i,d,j,b,n,a,d,k,f,,,,,,,,,,
c,l,g,m,h,i,o,q,e,m,a,d,f,k,,,,,
c,l,p,g,m,o,e,m,o,e,m,o,e,h,q,a,d,k,f
c,l,g,h,c,m,q,a,d,f,k,,,,,,,,
i,p,n,b,a,q,d,k,f,,,,,,,,,,
i,j,b,m,n,a,d,k,f,,,,,,,,,,
i,j,n,k,b,a,d,k,f,,,,,,,,,,
e,c,l,g,h,q,m,o,e,m,a,d,f,k,,,,,
i,j,g,b,n,a,d,k,f,,,,,,,,,,
c,l,g,m,m,h,q,a,d,k,f,,,,,,,,
c,l,g,h,q,m,o,e,m,a,c,d,f,k,,,,,
c,b,l,g,m,o,e,m,h,q,o,e,m,a,d,f,k,,
c,l,g,h,m,q,o,e,g,m,o,e,m,a,d,f,k,,
